Loading combined dataset (1.72B train tokens)...
Combined: 3,363,193 train seqs, 16,900 val seqs, vocab=32000
Resuming from weights.pkl
d=1024 h=16 kv_h=4 l=16 ctx=512 bs=16
combined_epoch2 trained_bpe vocab=32000
242,288,640 params, 210199 steps/epoch, 210199 total
/home/johann/Dropbox/ML/experiments/transformer/.venv/lib/python3.14/site-packages/jax/_src/compiler.py:834: UserWarning: Error writing persistent compilation cache entry for 'jit_train_step': FileNotFoundError: [Errno 2] No such file or directory: '/home/johann/Dropbox/ML/experiments/transformer/.jax_cache/jit_step_bf16_fwd-d220050f0a73f05857a0f29d66052c5b1bb6a6fbf370b712eb55b09b524da218-atime'
  warnings.warn(
    step 1000/210199  loss=2.8191  4.2 steps/s  eta=836min
    step 2000/210199  loss=2.8269  4.3 steps/s  eta=813min
    step 3000/210199  loss=2.8310  4.3 steps/s  eta=802min
    step 4000/210199  loss=2.8339  4.3 steps/s  eta=795min
    step 5000/210199  loss=2.8327  4.3 steps/s  eta=789min
    step 6000/210199  loss=2.8340  4.3 steps/s  eta=784min
    step 7000/210199  loss=2.8348  4.3 steps/s  eta=779min
    step 8000/210199  loss=2.8358  4.3 steps/s  eta=775min
    step 9000/210199  loss=2.8360  4.4 steps/s  eta=771min
    step 10000/210199  loss=2.8356  4.4 steps/s  eta=766min
    step 11000/210199  loss=2.8369  4.4 steps/s  eta=762min
    step 12000/210199  loss=2.8369  4.4 steps/s  eta=758min
    step 13000/210199  loss=2.8369  4.4 steps/s  eta=754min
    step 14000/210199  loss=2.8368  4.4 steps/s  eta=750min
    step 15000/210199  loss=2.8362  4.4 steps/s  eta=746min
    step 16000/210199  loss=2.8361  4.4 steps/s  eta=742min
    step 17000/210199  loss=2.8363  4.4 steps/s  eta=738min
    step 18000/210199  loss=2.8363  4.4 steps/s  eta=734min
    step 19000/210199  loss=2.8356  4.4 steps/s  eta=730min
    step 20000/210199  loss=2.8353  4.4 steps/s  eta=726min
    step 21000/210199  loss=2.8353  4.4 steps/s  eta=722min
    step 22000/210199  loss=2.8353  4.4 steps/s  eta=718min
    step 23000/210199  loss=2.8346  4.4 steps/s  eta=715min
    step 24000/210199  loss=2.8345  4.4 steps/s  eta=711min
    step 25000/210199  loss=2.8340  4.4 steps/s  eta=707min
    step 26000/210199  loss=2.8337  4.4 steps/s  eta=703min
    step 27000/210199  loss=2.8335  4.4 steps/s  eta=699min
    step 28000/210199  loss=2.8333  4.4 steps/s  eta=695min
    step 29000/210199  loss=2.8332  4.4 steps/s  eta=691min
    step 30000/210199  loss=2.8327  4.4 steps/s  eta=688min
    step 31000/210199  loss=2.8323  4.4 steps/s  eta=684min
    step 32000/210199  loss=2.8319  4.4 steps/s  eta=680min
    step 33000/210199  loss=2.8311  4.4 steps/s  eta=676min
    step 34000/210199  loss=2.8307  4.4 steps/s  eta=672min
    step 35000/210199  loss=2.8303  4.4 steps/s  eta=668min
    step 36000/210199  loss=2.8298  4.4 steps/s  eta=664min
    step 37000/210199  loss=2.8294  4.4 steps/s  eta=661min
    step 38000/210199  loss=2.8289  4.4 steps/s  eta=657min
    step 39000/210199  loss=2.8284  4.4 steps/s  eta=653min
    step 40000/210199  loss=2.8279  4.4 steps/s  eta=649min
    step 41000/210199  loss=2.8275  4.4 steps/s  eta=645min
    step 42000/210199  loss=2.8268  4.4 steps/s  eta=641min
    step 43000/210199  loss=2.8261  4.4 steps/s  eta=638min
    step 44000/210199  loss=2.8258  4.4 steps/s  eta=634min
    step 45000/210199  loss=2.8254  4.4 steps/s  eta=630min
    step 46000/210199  loss=2.8249  4.4 steps/s  eta=626min
    step 47000/210199  loss=2.8246  4.4 steps/s  eta=622min
    step 48000/210199  loss=2.8241  4.4 steps/s  eta=619min
    step 49000/210199  loss=2.8235  4.4 steps/s  eta=615min
    step 50000/210199  loss=2.8231  4.4 steps/s  eta=611min
    step 51000/210199  loss=2.8225  4.4 steps/s  eta=607min
    step 52000/210199  loss=2.8219  4.4 steps/s  eta=603min
    step 53000/210199  loss=2.8212  4.4 steps/s  eta=599min
    step 54000/210199  loss=2.8206  4.4 steps/s  eta=596min
    step 55000/210199  loss=2.8201  4.4 steps/s  eta=592min
    step 56000/210199  loss=2.8195  4.4 steps/s  eta=588min
    step 57000/210199  loss=2.8190  4.4 steps/s  eta=584min
    step 58000/210199  loss=2.8182  4.4 steps/s  eta=580min
    step 59000/210199  loss=2.8177  4.4 steps/s  eta=576min
    step 60000/210199  loss=2.8172  4.4 steps/s  eta=573min
    step 61000/210199  loss=2.8166  4.4 steps/s  eta=569min
    step 62000/210199  loss=2.8160  4.4 steps/s  eta=565min
    step 63000/210199  loss=2.8154  4.4 steps/s  eta=561min
    step 64000/210199  loss=2.8147  4.4 steps/s  eta=557min
